SampleName,Method
20250107_PC_1,PC.dam
20250107_TG_18-1_1,TG_18-1.dam
20250107_DG_18-1_1,DG_18-1.dam
20250107_FFA SFA USFA_1,FFA SFA USFA.dam
20250107_PE_1,PE.dam
20250107_PC_2,PC.dam
20250107_TG_18-1_2,TG_18-1.dam
20250107_DG_18-1_2,DG_18-1.dam
20250107_FFA SFA USFA_2,FFA SFA USFA.dam
20250107_PE_2,PE.dam
20250107_PC_3,PC.dam
20250107_TG_18-1_3,TG_18-1.dam
20250107_DG_18-1_3,DG_18-1.dam
20250107_FFA SFA USFA_3,FFA SFA USFA.dam
20250107_PE_3,PE.dam
20250107_PC_4,PC.dam
20250107_TG_18-1_4,TG_18-1.dam
20250107_DG_18-1_4,DG_18-1.dam
20250107_FFA SFA USFA_4,FFA SFA USFA.dam
20250107_PE_4,PE.dam
20250107_PC_5,PC.dam
20250107_TG_18-1_5,TG_18-1.dam
20250107_DG_18-1_5,DG_18-1.dam
20250107_FFA SFA USFA_5,FFA SFA USFA.dam
20250107_PE_5,PE.dam
20250107_PC_blank,PC.dam
20250107_TG_18-1_blank,TG_18-1.dam
20250107_DG_18-1_blank,DG_18-1.dam
20250107_FFA SFA USFA_blank,FFA SFA USFA.dam
20250107_PE_blank,PE.dam
20250107_PC_bad,PC.dam
20250107_TG_18-1_bad,TG_18-1.dam
20250107_DG_18-1_bad,DG_18-1.dam
20250107_FFA SFA USFA_bad,FFA SFA USFA.dam
20250107_PE_bad,PE.dam
